BBANDS_60:Real Middle Band,high,STOCH_daily:SlowD,close,STOCH_daily:SlowK,open,BBANDS_60:Real Lower Band,EMA_60:EMA,AROON_60:Aroon Down,OBV_daily:OBV,low,AROON_60:Aroon Up,RSI_60:RSI,price_change_1m,WMA_60:WMA,price_change_1d,SMA_60:SMA,MACD_daily:MACD,volume,BBANDS_60:Real Upper Band,date,MACD_daily:MACD_Hist,price_change_1w,AD_daily:Chaikin A/D,ADX_60:ADX,volume_change_1w,MACD_daily:MACD_Signal,volume_change_1m,CCI_60:CCI,volume_change_1d,
19.686,27.81,82.0369,25.43,72.2509,26.01,7.158,21.5541,66.6667,331680.0,25.3,1.6667,44.0857,49.2725127802,17.6426,-6.17381046009,19.686,1.7831,404606.0,32.214,2014-01-23,1.0645,-15.0609516319,-513120.8883,,-35.2078318166,0.7186,29.4330781056,68.2937,25.4361032708,
19.3713,27.13,68.7423,23.86,52.027,26.68,8.061,21.5563,65.0,-175842.0,21.62,0.0,42.0657,46.6890192791,17.706,-15.4652137469,19.3713,1.7341,507522.0,30.6816,2014-01-24,0.8124,-9.26236378877,-607993.4219,,-14.9776758446,0.9217,-5.29829248781,50.9175,10.5295928058,
19.1105,23.69,52.9988,20.17,34.7186,23.69,8.6129,21.5023,63.3333,-736804.0,19.911,0.0,41.1747,56.2716906296,17.7237,6.54437283094,19.1105,1.5395,560962.0,29.6081,2014-01-27,0.4943,17.9970252851,-1092062.5095,,-42.4472602422,1.0453,45.1602782363,16.87,-41.6864243924,
18.9056,21.69,35.4063,21.49,19.4733,20.53,8.9749,21.4506,61.6667,-409687.0,19.924,0.0,41.1843,46.2540716612,17.7503,13.3550488599,18.9056,1.3706,327117.0,28.8362,2014-01-28,0.2603,5.77012563983,-839037.6952,,3.38747298367,1.1103,96.3701061088,18.238,59.9326846358,
18.7554,24.56,26.8999,24.36,26.5078,22.7,9.2693,21.4525,60.0,113480.0,21.51,0.0,42.356,30.4187192118,17.8357,-10.0574712644,18.7554,1.3492,523167.0,28.2415,2014-01-29,0.1911,-3.61247947455,-384482.7608,,-55.2785248305,1.1581,-13.1120655546,58.344,-31.4436881531,
18.6523,22.75,26.883,21.91,34.6681,22.09,9.4179,21.4483,58.3333,-245184.0,21.3242,0.0,42.2557,52.7156549521,17.92,-1.41487905066,18.6523,1.3022,358664.0,27.8867,2014-01-30,0.1152,24.0073026016,-448427.4857,,29.1275399817,1.1869,103.939062744,38.3767,-26.9084714384,
18.5335,23.18,33.7636,21.6,40.1149,23.18,9.5889,21.4195,56.6667,-507337.0,20.57,3.3333,41.8467,53.9814814815,17.9828,0.231481481481,18.5335,1.1903,262153.0,27.4781,2014-01-31,0.0027,42.3148148148,-503670.4551,,109.688235496,1.1876,69.5605238162,38.0951,64.6012061659,
18.4336,24.11,36.1778,21.65,33.7505,22.17,9.762,21.4225,55.0,-75830.0,21.51,1.6667,42.5515,62.3094688222,18.0804,9.93071593533,18.4336,1.1641,431507.0,27.1052,2014-02-03,-0.0188,60.6009237875,-888707.4704,,62.3964385282,1.1829,14.2553886727,51.4215,-25.1810515241,
18.3068,24.09,41.7899,23.8,51.5044,21.4,10.0447,21.4218,53.3333,247019.0,21.4,0.0,42.4902,56.1764705882,18.1777,-4.49579831933,18.3068,1.1216,322849.0,26.5689,2014-02-04,-0.0491,28.3613445378,-635469.0355,,87.4353025718,1.1706,83.4860879235,66.2086,4.75423495194,
18.2545,25.25,46.6779,22.73,54.7789,25.0,10.1458,21.464,51.6667,-91179.0,22.71,0.0,43.4761,51.8257809063,18.322,3.29960404751,18.2545,1.18,338198.0,26.3631,2014-02-05,0.0074,58.6449626045,-968341.0827,,93.8414774777,1.1725,74.0569134058,76.1922,-30.8192242414,
18.2496,24.349,56.4595,23.48,63.0952,23.64,10.1522,21.5075,50.0,142789.0,22.79,8.3333,43.5362,36.4139693356,18.4708,15.7155025554,18.2496,1.2186,233968.0,26.3471,2014-02-06,0.0369,69.9744463373,-995204.6312,,291.093653833,1.1817,181.002530261,77.0465,97.9475825754,
18.2388,27.32,62.158,27.17,68.5998,24.21,10.1729,21.5826,48.3333,605923.0,23.8,6.6667,44.2968,18.1818181818,18.6527,13.1394920869,18.2388,1.3156,463134.0,26.3047,2014-02-07,0.1071,40.8906882591,-571542.2789,,26.1287230046,1.2085,11.6249292861,121.6516,18.6922143483,
18.3271,31.368,72.0479,30.74,84.4485,29.83,9.911,21.8291,46.6667,1155627.0,29.1,100.0,48.0324,16.753415745,19.0088,13.1102797658,18.3271,1.7994,549704.0,26.7432,2014-02-10,0.4727,0.195185426155,-326259.8944,,31.0163287879,1.3267,46.8408452549,190.6126,27.4780609201,
18.4423,35.37,82.8414,34.7701,95.4758,32.16,9.5079,22.1495,45.0,1856379.0,31.6,100.0,49.6521,14.5521583199,19.444,-12.1371523234,18.4423,2.3573,700752.0,27.3768,2014-02-11,0.8245,3.22087080566,151478.2463,,-12.0875859077,1.5328,26.0672820056,238.5837,-13.6451983013,
18.5047,34.946,87.8244,30.55,83.5488,34.89,9.3087,22.4019,43.3333,1251246.0,29.85,98.3333,48.5744,28.5106382979,19.818,18.0360065466,18.5047,2.628,605133.0,27.7006,2014-02-12,0.8762,18.0687397709,-287409.4241,,2.77773646455,1.7519,62.574177908,198.265,8.33453141706,
18.5743,36.3325,87.9829,36.06,84.9241,30.9,9.0862,22.665,41.6667,1906814.0,30.424,100.0,48.944,-4.90848585691,20.2088,10.6766500277,18.5743,2.8559,655568.0,28.0624,2014-02-13,0.8833,5.26899611758,307688.9881,,-20.1159910185,1.9727,27.9014533961,229.0714,39.5788079955,
18.8052,41.383,83.6597,39.91,82.5062,39.2,8.1739,23.17,40.0,2821848.0,38.07,100.0,53.4742,-19.5690303182,20.848,-4.08418942621,18.8052,3.6119,915034.0,29.4365,2014-02-14,1.3114,-12.3026810323,409052.5492,,-47.4738643591,2.3005,9.68215388718,293.2697,-36.1613885386,
19.0222,40.58,84.5799,38.28,86.3094,40.0,7.4761,23.6271,38.3333,2237703.0,37.11,98.3333,52.8752,-29.3887147335,21.4482,-19.5402298851,19.0222,4.0864,584145.0,30.5683,2014-02-18,1.4287,-17.6593521421,218826.6558,,39.3992929838,2.6577,157.601451694,258.0489,23.2916484777,
19.1898,38.92,75.0874,30.8,56.4465,37.01,7.2865,23.8486,36.6667,1517501.0,30.382,96.6667,48.9657,-10.2272727273,21.8206,16.525974026,19.1898,3.8749,720202.0,31.0932,2014-02-19,0.9738,2.04545454545,-430856.6194,,-10.8083565444,2.9011,77.8215000791,173.6733,-14.4617760017,
19.3952,37.24,62.1853,35.89,43.8,31.62,7.0929,24.0939,35.0,2133549.0,31.33,95.0,49.5007,-23.2098077459,22.2187,0.501532460295,19.3952,3.7407,616048.0,31.6974,2014-02-20,0.6716,-11.4795207579,-96251.8682,,-26.2120808768,3.069,25.0618458302,179.4063,0.956743630366,
19.6373,37.3,45.6388,36.07,36.6699,36.54,6.8033,24.4082,33.3333,2755491.0,33.68,93.3333,50.8009,-39.340171888,22.687,5.23981147768,19.6373,3.7803,621942.0,32.4713,2014-02-21,0.569,-7.23593013585,103044.4633,,17.6083943519,3.2113,174.291011059,177.3762,-15.7969714218,
